resource,scg_id,description,condition_key,iso_27001,scg_6.x,scg_7,scg_8,vsan_hg,nsx-t_scg,(kein_alert),strictest_requirement,note
VirtualMachine,–,VM.disconnect-devices-floppy - Floppy drive connected,config|security|disconnect_devices_floppy,,≠ false,≠ false,≠ false,,,,≠ false,
VirtualMachine,–,VM.disconnect-devices-parallel - Parallel port connected,config|security|disconnect_devices_parallel,,≠ false,≠ false,≠ false,,,,≠ false,
VirtualMachine,–,VM.disconnect-devices-serial - Serial port connected,config|security|disconnect_devices_serial,,≠ false,≠ false,≠ false,,,,≠ false,
VirtualMachine,–,Virtual AHCI controller connected,config|security|disconnect_devices_virtualahcicontroller,,,≠ false,≠ false,,,,≠ false,
VirtualMachine,–,Virtual Ensoniq 1371 connected,config|security|disconnect_devices_virtualensoniq1371,,,≠ false,≠ false,,,,≠ false,
VirtualMachine,–,Virtual HD audio card connected,config|security|disconnect_devices_virtualhdaudiocard,,,≠ false,≠ false,,,,≠ false,
HostSystem,–,ESXi.ad-auth-proxy-domain-membership-status -  The Domain membership status is not set,config|security|domain_membership_status,,,= ok,,,,,= ok,
HostSystem,vNetwork.verify-dvfilter-bind,Users and processes without privileges can make use of dvfilter network APIs,config|security|dvfilter_bind_address,= none,= none,= none,= none,,,,= none,
HostSystem,–,ISO 27001-27002 Active directory is not configured for Local Authentication,config|security|enable_ad_auth,= true,= true,= true,,,,,= true,
HostSystem,ESXi.enable-auth-proxy,vSphere Authentication Proxy not used for password protection when adding ESXi hosts to active directory,config|security|enable_auth_proxy,≠ 0.0,,≠ 0.0,,,,,≠ 0.0,
HostSystem,–,"ISO 27001-27002 - Bidirectional CHAP is not enabled, authentication for iSCSI traffic",config|security|enable_chap_auth,= true,= true,= true,= true,,,,= true,
VirtualMachine,VM.minimize-console-VNC-use,Access to VM console is not controlled via VNC protocol,config|security|enable_console_VNC,≠ true,≠ true,≠ true,,,,,≠ true,
VirtualMachine,–,ISO 27001-27002- VM.Deactivate-console-gui-options - Copy/paste operations are activated,config|security|enable_console_gui_options,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
VirtualMachine,VM.restrict-host-info,Guests can recieve host information,config|security|enable_host_info,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
HostSystem,ESXi.Deactivate-mob,Managed Object Browser (MOB) is activated,config|security|enable_mob,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
VirtualMachine,–,VM.disable-non-essential-3D-features Configure system security parameters - Deactivate 3D features on Server and desktop virtual machines,config|security|enable_non_essential_3D_features,,≠ true,≠ true,≠ true,,,,≠ true,
VirtualMachine,–,VM.Enable-VGA-Only-Mode Configure system security parameters - Deactivate all but VGA mode on specific virtual machines,config|security|enable_vga_only_mode,,≠ true,≠ true,,,,,≠ true,
HostSystem,–,ESXi.set-vib-trusted-binaries - Only run trusted binaries delivered via VIB,config|security|execInstalledOnly,,,,= true,,,,= true,
HostSystem,–,ESXi.firewall-restrict-access The Configuration of the ESXi host firewall to restrict access to services running on the host is not as per the recommended value.,config|security|firewallRule:Firewall Configured|servicesConfigured,,≠ false,≠ false,≠ false,,,,≠ false,
HostSystem,Integrity,Firewall is not configured for NTP service,config|security|firewallRule:NTP Client|allowedHosts,≠ All IP,,,,,,,≠ All IP,
HostSystem,–,ISO 27001-27002 : Requirements for a firewall - Firewall is not configured to restrict few or all services running on ESXi host,config|security|firewallRule:services|servicesConfigured,contains false,contains false,,,,,,contains false,
HostSystem,–,The exception users list is violating the recommended value,config|security|has_lockdown_exception_users,,,≠ true,≠ true,,,,≠ true,
HostSystem,–,ESXi.set-info-logging-level - The log level is not set to info,config|security|host_agent_log_level,,,= info,= info,,,,= info,
HostSystem,–,The ESXi host client sessions timeout is violating the recommended value,config|security|host_client_session_timeout,,,,≥ 900.0,,,,900,Analogous to the DCUI timeout: symptom reports <900; reference 900 s.
HostSystem,–,ESXi.verify-acceptance-level-accepted - Image Profile and VIB Acceptance Levels are neither VMware Certified nor VMware Accepted,config|security|imageConfig|acceptance_level_risk_profile_2,,,= true,= true,,,,= true,
HostSystem,–,ISO 27001-27002 - CONFIGURATION SETTINGS-The Image Profile and VIB Acceptance Levels must be verified,config|security|imageConfig|acceptance_level_risk_profile_3,= true,,,,,,,= true,
HostSystem,–,The SSH connection banner is not set,config|security|issue,,,,≠ false,,,,≠ false,
VirtualMachine,–,VM.set-remote-console-connections-limit - The number of console connections is not set as per the acceptable limit,config|security|limit_console_connection,,,= 1.0,= 1.0,,,,= 1.0,
VirtualMachine,–,VM.set-retained-logs-count - The number of retained VM diagnostic logs is larger than acceptable level,config|security|limit_log_number,,,≤ 10.0,≤ 10.0,,,,≤ 10.0,
VirtualMachine,–,VM.set-logs-size - The configured log size is lesser than acceptable level,config|security|limit_log_size,,,≥ 2048000.0,≥ 2048000.0,,,,≥ 2048000.0,
VirtualMachine,VM.limit-setinfo-size,Informational messages from the VM to the VMX file are not limited,config|security|limit_setinfo_size,≤ 1048576.0,≤ 1048576.0,≤ 1048576.0,≤ 1048576.0,,,,≤ 1048576.0,
HostSystem,–,ESXi.set-normal-lockdown-mode - The lockdown mode to restrict access to ESXi is not set to normal,config|security|lockdown|lockdown_mode,,,≠ lockdownDisabled,≠ lockdownDisabled,,,,≠ lockdownDisabled,
HostSystem,vNetwork.enable-bpdu-filter,BPDU filter on the ESXi host to prevent being locked out of physical switch ports with Portfast and BPDU Guard is not enabled,config|security|net_block_guest_bpdu,≠ 0.0,= 1.0,= 1.0,= 1.0,,,,1,= 1 required.
VirtualMachine,VM.verify-network-filter,Access to VMs are not controlled through dvfilter network APIs,config|security|network_filter_enable,≠ true,≠ true,≠ true,,,,,≠ true,
HostSystem,Integrity,NTP time synchronization server is not configured,config|security|ntpServer,≠ none,≠ none,≠ none,≠ none,,,,≠ none,
HostSystem,–,The maximum number of days between password changes is violating the recommended value,config|security|password_max_days,,,,= 9999.0,,,,= 9999.0,
VirtualMachine,VM.verify-PCI-Passthrough,PCI pass through device is configured on the virtual machine,config|security|pci_device_configured,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
HostSystem,ESXi.set-account-lockout,The count of failed login attempts before which the account gets locked out exceeds the maximum permissible value,config|security|security_account_lock_failures,≥ 3.0,≤ 3.0,= 5.0,= 5.0,,,,3,SCG 7/8: exactly 3; ISO: exactly 5 -> strictest value is 3.
HostSystem,ESXi.set-account-auto-unlock-time,The time after which a locked account is automatically unlocked is not meeting the criteria,config|security|security_account_unlock_time,≥ 900.0,≥ 900.0,≥ 900.0,≥ 900.0,,,,≥ 900.0,
HostSystem,–,ESXi.set-security-password-history - The Password reuse history configured for ESXi Shell and SSH sessions is lesser than acceptable level,config|security|security_password_history,,,≥ 5.0,≥ 5.0,,,,≥ 5.0,
HostSystem,ESXi.set-password-policies,Password policy is not established for password complexity,config|security|security_password_quality_control,"= retry=3 min=disabled,disabled,disabled,7,7","= retry=3 min=disabled,disabled,disabled,7,7","= retry=3 min=disabled,disabled,disabled,7,7","= retry=3 min=disabled,15,15,15,15 max=64 similar=deny passphrase=3",,,,"retry=3 min=disabled,15,15,15,15 max=64 similar=deny passphrase=3",SCG 8 (15 characters + passphrase) is stricter than ISO/6.x (7 characters).
HostSystem,–,ESXi Shell service is running,config|security|service:ESXi Shell|isRunning,,,≠ true,≠ true,,,,≠ true,
HostSystem,–,Non-compliant ESXi Shell service startup policy,config|security|service:ESXi Shell|policy,,,= off,= off,,,,= off,
HostSystem,–,ISO 27001-27002 NTP time Synchronization service is not configured to start automatically,config|security|service:NTP Daemon|isRunning,≠ false / ≠ none,≠ false,,,,,,läuft,'false'/'none' are collector variants of the same condition.
HostSystem,–,ESXi.config-ntp - NTP Daemon policy is not enabled,config|security|service:NTP Daemon|policy,,= on,,,,,,= on,
HostSystem,–,ESXi.set-cimsfcb-watchdog-svc-stop -  The SFCBD Watch dog service is running,config|security|service:SFCB service|isRunning,,,≠ true,≠ true,,,,≠ true,
HostSystem,–,ESXi.set-cimsfcb-watchdog-policy-off  - The SFCBD Watch dog service policy is On,config|security|service:SFCB service|policy,,,≠ on,≠ on,,,,≠ on,
HostSystem,–,ESXi.set-slp-svc-stop -  The SLP service is running,config|security|service:SLP Service|isRunning,,,≠ true,≠ true,,,,≠ true,
HostSystem,–,ESXi.set-slp-policy-off - The SLP service policy is On,config|security|service:SLP Service|policy,,,≠ on,≠ on,,,,≠ on,
HostSystem,–,ISO 27001-27002 SNMP service is running,config|security|service:SNMP Server|isRunning,≠ true,≠ true,≠ true,≠ true,,,,≠ true,
HostSystem,–,The SNMP Server startup policy is violating the recommended value,config|security|service:SNMP Server|policy,,,≠ on,≠ on,,,,≠ on,
HostSystem,–,ESXi.Audit-SSH-Disable The sshd service status is not as per the recommended value.,config|security|service:SSH|isRunning,,≠ true,≠ true,≠ true,,,,≠ true,
HostSystem,–,ESXi.set-ssh-policy-off - The SSH service policy is On,config|security|service:SSH|policy,,= off,≠ on,≠ on,,,,off,'!= off' and '= on' are consistent: policy off.
HostSystem,–,ISO 27001-27002 - Timeout to automatically terminate idle sessions is not configured,config|security|shell_interactive_timeout,≠ 0.0,≠ 0.0 / ≤ 900.0,≤ 900.0,≤ 900.0,,,,900,Allowed range 1-900 s; reference 900.
HostSystem,ESXi.set-shell-timeout,Timeout for ESXi Shell and SSH services is set for more than 15 minutes,config|security|shell_timeout,≠ 0.0 / ≤ 900.0,≠ 0.0 / ≤ 900.0,≤ 900.0,≤ 900.0,,,,900,Allowed range 1-900 s; reference 900.
HostSystem,–,ESXi.set-hyperthread-security-warning - Warning for potential hyperthreading security vulnerability is suppressed,config|security|suppressHyperthreadWarning,,,= 0.0,= 0.0,,,,= 0.0,
HostSystem,–,ESXi.set-shell-warning-enabled - Warning for support and troubleshooting interfaces is suppressed,config|security|suppressShellWarning,,,= 0.0,= 0.0,,,,= 0.0,
HostSystem,–,ISO 27001-27002 - Persistent logging is not configured for ESXi host,config|security|syslog_dir,≠ false,≠ false,≠ false,≠ false,,,,≠ false,
HostSystem,–,ISO 27001-27002 Remote Logging for ESXI must be configured,config|security|syslog_host,≠ false,≠ none,≠ none,≠ none,,,,konfiguriert,Remote syslog must be configured.
HostSystem,–,ESXi.set-disable-deprecated-ssl-tls - Deactivate deprecated SSL or TLS protocols,config|security|tlsDisabledProtocols,,,"= sslv3,tlsv1,tlsv1.1","= sslv3,tlsv1,tlsv1.1",,,,"= sslv3,tlsv1,tlsv1.1",
VirtualMachine,–,VM.set-guest-session-locked - The console session is not locked,config|security|tools_guest_desktop_autolock,,,≠ false,≠ false,,,,≠ false,
HostSystem,–,ISO 27001-27002 - The default setting for intra-VM TPS is not correct,config|security|tps_share_force_salting,= 2.0,= 2.0,= 2.0,= 2.0,,,,= 2.0,
HostSystem,–,The welcome message is not set,config|security|welcome_message,,,,≠ false,,,,≠ false,
DistributedVirtualPortgroup,–,vSphere Distributed Port Group is not an uplink,config|uplink,= true,,= true,= true,,,,= true,
VirtualMachine,–,VM.set-virtual-hardware - The virtual machine hardware version not as per the recommended version,config|version,,,nicht gemäß Regex: vmx-[1-9]|vmx-1[0-2],nicht gemäß Regex: vmx-[1-9]|vmx-1[0-8],,,,vmx-19+,SCG 7 flags <=vmx-12 and SCG 8 flags <=vmx-18 as violations -> strictest requirement: hardware version >= vmx-19.
